Column1,thesis_id,collection_id,Nome-apelido,Author_email,Advisor_bom_1,Advisor_bom_2,Advisor_bom_3,Coorientador(es)_bom_3,Date_issued,Rights,Date_embargo,Embargo_info,title,Type_thesis,Language,Thesis_url,Specialization_retificado,Abstract_en
10,87506,10362/2160, Pierre Antony Jean Marie Salvaire,,Rui Alexandre Henriques GonÁalves,,,,03/09/2019,openAccess,,,Explaining the predictions of a boosted tree algorithm : application to credit scoring,Dissertation,eng,http://hdl.handle.net/10362/85991,Knowledge Management and Business Intelligence,"The main goal of this report is to contribute to the adoption of complex   Black Box   
machine learning models in the field of credit scoring for retail credit. 
Although numerous investigations have been showing the potential benefits of using 
complex models, we identified the lack of interpretability as one of the main vector preventing 
from a full and trustworthy adoption of these new modeling techniques. Intrinsically linked 
with recent data concerns such as individual rights for explanation, fairness (introduced in the 
GDPR1) or model reliability, we believe that this kind of research is crucial for easing its 
adoption among credit risk practitioners. 
We build a standard Linear Scorecard model along with a more advanced algorithm 
called Extreme Gradient Boosting (XGBoost) on a retail credit open source dataset. The 
modeling scenario is a binary classification task consisting in identifying clients that will 
experienced 90 days past due delinquency state or worse. 
The interpretation of the Scorecard model is performed using the raw output of the 
algorithm while more complex data perturbation technique, namely Partial Dependence Plots 
and Shapley Additive Explanations methods are computed for the XGBoost algorithm. 
As a result, we observe that the XGBoost algorithm is statistically more performant 
at distinguishing  bad  ù from  good  ù clients. Additionally, we show that the global interpretation 
of the XGBoost is not as accurate as the Scorecard algorithm. At an individual level however 
(for each instance of the dataset), we show that the level of interpretability is very similar as they 
are both able to quantify the contribution of each variable to the predicted risk of a specific 
application."
11,14316,10362/2160, AmÈlia Preto Barrocas Afonso Goul„o,,Tiago AndrÈ GonÁalves FÈlix de Oliveira,,,,21/07/2014,openAccess,,,E-Health individual adoption - empirical model based on UTAUT 2.,Dissertation,eng,http://hdl.handle.net/10362/13760,Knowledge Management and Business Intelligence,"The future of health care delivery is becoming more citizen-centred, as today  
user is more active, better informed and more demanding. The European Commission 
is promoting online health services and, therefore, member states will need to boost 
deployment and use of online services. This makes e-health adoption an important field 
to be studied and understood. 
This study applied the extended unified theory of acceptance and usage 
technology (UTAUT2) to explain patients  individual adoption of e-health. An online 
questionnaire was administrated Portugal using mostly the same instrument used in 
UTAUT2 adapted to e-health context. We collected 386 valid answers. 
Performance expectancy, effort expectancy, social influence, and habit had the 
most significant explanatory power over behavioural intention and habit and 
behavioural intention over technology use. The model explained 52% of the variance in 
behavioural intention and 32% of the variance in technology use. 
Our research helps to understand the desired technology characteristics of ehealth. 
By testing an information technology acceptance model, we are able to 
determine what is more valued by patients when it comes to deciding whether to adopt 
e-health systems or not."
12,129192,10362/2160, Fernando Rodrigues Maia,,Miguel de Castro Simıes Ferreira Neto,,,,02/11/2021,embargoedAccess,02/11/2024,"(...) ""a tese dever?É¬? ser sujeita a um per?É¬≠odo de embargo de 3 anos pelo fato de conter dados reais de um organismo do estado portugu?É¬?s.""",Sistema de Business Intelligence para apoio ao planeamento e gest„o de incentivos - O caso Compete2020,Work project,por,http://hdl.handle.net/10362/127532,Knowledge Management and Business Intelligence,"The vertiginous evolution of information technology has enabled organizations to improve their
operational capabilities, making their processes more agile, more effective and more efficient. The
computerization of almost all organizational processes enables the existence of data that, in addition to
the operational part, can help in the decision-making process of middle and top management. However,
the data is not always available in a format that managers can understand, so there is a need to transform
it into useful information.
In the last 20 years, many large organizations have tried to understand how to take advantage of their
operational data by developing Business Intelligence projects, using the most modern BI tools and IT
resources specialized in data processing.
The project to which this report refers took place in COMPETE2020, a public entity responsible for
managing funds allocated to the development of the competitiveness of national companies. The project's
scope was the definition of a data model that will support the future BI solution of the organization, as
well as the identification and analysis of potential BI tools to implement the solution.
The future BI tool aims to serve top and middle management in the decisions that will improve their
ability to manage the use of current and future funds for business financing.
As a final result of the BI solution, the organization will have available a set of indicators, that do not
currently exist or that require repetitive manual work that does not allow the provision of information in
the desired timely manner."
13,14332,10362/2160, Jorge Miguel da Silveira Rebelo,,Tiago AndrÈ GonÁalves FÈlix de Oliveira,Pedro Miguel Fernandes Ruivo,,,08/10/2013,openAccess,,,Differences in ERP use and value across Iberian Manufacturing and Services SMEs,Dissertation,eng,http://hdl.handle.net/10362/13771,Information Systems and Technologies Management,"Enterprise Resource Planning (ERP) system literature reports very little research on post-adoption stages, that is, actual usage and value. Even fewer studies focus on the specificities of an industry analysis. Based on the Technology-Organizational-Environment (TOE) framework and the Resource-Based View (RBV) theory, we develop a research model to measure and examine determinants of ERP use and value and their impact in the Iberian region (Portugal and Spain) across Manufacturing and Services industries in Small and Medium Enterprises (SMEs). The empirical test was conducted through structural equation modelling, using data from 261 firms in the peninsula in the Manufacturing and Service industries. Results show that amongst ERP use determinants, Training is the most important determinant for Service firms and Compatibility for Manufacturing firms. Firm size, Analytics, and Collaboration contribute to ERP Value in both industries, with Analytics being more important for the Service industry. The paper provides insight into which determinants contribute to ERP use and ERP value in Iberian Manufacturing and Services SMEs, offering managerial and academic implications."
14,14328,10362/2160, Arjan Van Der Laan,,Peter Trkman,Miguel de Castro Simıes Ferreira Neto,,,15/11/2013,openAccess,,,Enterprise Social Networking,Dissertation,eng,http://hdl.handle.net/10362/13768,Information Systems and Technologies Management,"Microblogging in the workplace as a functionality of Enterprise Social Networking (ESN) platforms is a relatively new phenomenon of which the use in knowledge work has not yet received much attention from research. In this cross-sectional study, I attempt to shed light on the role of microblogging in knowledge work. I identify microblogging use practices of knowledge workers on ESN platforms, and I identify its role in supporting knowledge work performance. A questionnaire is carried out among a non-representative sample of knowledge workers. The results shed light on the purposes of the microblogging messages that knowledge workers write. It also helps us find out whether microblogging supports them in performing their work. The survey is based on existing theory that supplied me with possible microblog purposes as well as theory on what the actions of knowledge workers are. The results reveal that  knowledge & news sharing  ù,  crowd sourcing  ù,  socializing & networking  ù and  discussion & opinion  ù are frequent microblog purposes. The study furthermore shows that microblogging benefits knowledge workers  work. Microblogging seems to be a worthy addition to the existing means of communication in the workplace, and is especially useful to let knowledge, news and social contact reach a further and broader audience than it would in a situation without this social networking service."
15,14320,10362/2160, ¡lia Raquel GonÁalves Bernardo,,Vitor Manuel Pereira Duarte dos Santos,,,,11/11/2014,openAccess,,,Alinhamento do negÛcio com os sistemas de informaÁ„o.,Dissertation,por,http://hdl.handle.net/10362/13762,Knowledge Management and Business Intelligence,"The issue of alignment between information systems and the business plan of the organizations has been of concern either by organizations or by managers that recognize its importance. Although several existing studies around this issue and the inclusion of the topic strategic alignment on organizational management, they still have difficulty in achieving and maintaining this alignment. This thesis aims to assess the level of alignment of information systems with the business plans of small and medium-sized Portuguese companies in the Agrifood sector. To this end, was initially made a literature review that is structured in two stages. First an overview of the Agrifood Sector and some examples of the information systems used in the industry in Portugal is presented. Then, an overview of strategic alignment is presented and how it influences organizations. After a brief explanation of concepts, are presented the critical success factors when it comes to achieving strategic alignment. Models of strategic alignment are also exposed. In order to meet the proposed objectives, the research methodology used was predominantly quantitative using a Web questionnaire. Respondents are represented by IT executives or business executives. Using the Maturity Model Strategic Alignment of Luftman six criteria are evaluated. They are communication, measures of value and competence, governance, partnership, scope and architecture and skills. Therefore we obtained the level of alignment of information systems with the business plans of small and medium-sized Portuguese companies in the sector under study. Some studied organizations are already taking the first steps towards strategic alignment. However, the results of this paper point towards the need for greater recognition of the importance of this issue in the sector under study."
16,14333,10362/2160, Dizando AntÛnio Mvemba,,Leonardo Vanneschi,Mauro Castelli,,,29/09/2014,openAccess,,,ProgramaÁ„o genÈtica,Work project,por,http://hdl.handle.net/10362/13772,Knowledge Management and Business Intelligence,"Genetic Programming (GP) is a ML technique used in optimization problems where
one tries to find the best solution on a set of possible solutions. GP is part of the Evolutionary Computation (EC) paradigm inspired by the theory of natural evolution of species
to guide the search of solutions.
In this work, we evaluated the performance of GP on the problem of prediction of
pharmacokinetic parameters used in the drug development process. This is an optimization problem where, given a set of drug molecular descriptors and the corresponding
values of the pharmacokinetic parameters or the molecular activity, GP is then used to
build a mathematical model that estimates such values. To this end, we used data of drugs
with known values of some pharmacokinetic parameters. To evaluate GP performance in
solving the problem at hand, several GP models were implemented with different fitness
functions and configurations.
The results from the different GP models were compared with the results currently
published in the literature, and they confirm that GP is a promising technique from the
point of view of the accuracy of the solutions, their generalization ability and the correlation between the predicted and the actual values."
17,14336,10362/2160, Susana PatrÌcia ¡stias VÌtor,,Pedro Miguel Pereira Simıes Coelho,Susana Pereira Esteves,,,26/05/2014,openAccess,,,Os principais fatores que influenciam a intenÁ„o de compra dos consumidores quando realizam pesquisas de produtos e serviÁos em blogues portugueses,Dissertation,por,http://hdl.handle.net/10362/13774,Marketing Intelligence,"Communication is a key for the image that a company has in the market. Blogs
have increasingly become, as an effective tool in the communication strategies of
companies, allowing to achieve many of its goals through a reduced cost. The
information shared by the companies in blogs should take into consideration the
factors that blog readers value most. It is crucial to have a communication strategy
adapted to these factors, so that it can be possible to promote the brands and attract
readers. The blog is often used as a search platform for products and services
information, may influence the decision making process on the future.
This current study persues the answers to the following questions: Which are
the attributes of the blogs that its readers value most? What is the importance of
advertising in the texts of the posts? Which are the most important dimensions that
best explain the readers purchase intention? It also presents some recommendations
for future communication plans to companies that might elect these channels for its
communication strategies.
The investigation method starts out through an exploratory study, performed
by 12 interviews, and subsequently through a conclusive research, with the
acheivement of an online questionnaire with 153 responses.
The results show that the ""pictures and videos"" attribute is strongly linked with
the reader's preferences. The sponsorship of companies on posts does not have to be
marked because it is not a relevant feature in the readers purchase intention. The blog
reliability is one of the predominant variables in the reader's decision making process.
Finally, readers who seek mainly fashion information on blogs have more propensity to
purchase services and products than those who seek information from others areas."
18,14324,10362/2160, LuÌs Pedro Lopes Batista,,Miguel de Castro Simıes Ferreira Neto,,,,15/05/2014,openAccess,,,ImplementaÁ„o de uma soluÁ„o open source de Business Intelligence com metodologia ¡gil,Work project,por,http://hdl.handle.net/10362/13763,Knowledge Management and Business Intelligence,"The importance of data warehousing and business intelligence systems is ever
more evident, as organizations strive to develop the ability to store, explore and
produce value-added information that can enhance their decision-making processes.
The reality of this situation is clearly applicable to the portuguese public administration
sector and, in particular, the central agencies of the Health Ministry. In the case of the
Health Ministry  Shared Services (HMSS) agency, tasked with the mission of providing
centralized business intelligence systems throughout the health service, clients have
manifested a very strong call to have their central systems fitted with analytic
capabilities.
However, it is evident that both the cost and complexity of many of these
projects has represented a serious threat to their adoption and success. On the one
hand, the public administration sector has been strongly encouraged to adopt and
integrate open source software (zero cost licensing models) into future development
of IT projects. On the other hand, we have witnessed a wave of widespread
acceptance of new development methodologies moving across IT projects, namely
those that concern Agile methodologies, assumed as more flexible, less formal and
more likely to succeed.
In order to ascertain the applicability of open source and Agile methodologies for
business intelligence systems, this paper documents the implementation of a real-life
project for HMSS, using open source tools (zero licence cost) and developed through
Agile-natured methodologies. "
19,14326,10362/2160, T‚nia Vanessa Ferreira LuÌs,,Miguel de Castro Simıes Ferreira Neto,,,,15/05/2014,openAccess,,,Business Intelligence para apoio ‡ gest„o das listas de inscritos para cirurgia em Portugal continental,Work project,por,http://hdl.handle.net/10362/13765,Knowledge Management and Business Intelligence,"In Portugal, the problem of the surgery patients  lists and their waiting times are
matters of concern to the Portuguese society since the beginning of the nineties of the
twentieth century.
Nowadays, the business intelligence tools are becoming increasingly important
at the organizations embedded in a more complex, competitive and demanding fast,
appropriate and constantly changing answers.
The present project, consists in the implementation of a business intelligence
application, at Unidade Central de Gest?o de Inscritos para Cirurgia, seeded in the
AdministraÁ?o Central do Sistema de Sa˙de, I.P., which supports the management of
the surgery patients list with higher quality, accuracy and timely, with unquestionable
benefits to users.
This project aims at monitor fundamental indicators; improve the control
concerning the hospitals performance; the difference between the values established
for certain indicators and the deviance verified; the simulation of the impact of some
measures on the surgery patients list, before their implementation; and provide
information that allows the adaptation, at any time, of the supply and the demand in
certain surgical pathologies.
The goals of the project were implemented in its totality, and the application has
been successfully completed.
As future actions, it is suggested to generate new indicators and increase the
scope of the analysis to the application developed in this project extending the
analytical capacity of the Unidade Central de Gest?o de Inscritos para Cirurgia with
inherent increase of their management competence of the Surgery Patients List in
Portugal."
20,112148,10362/2160, GonÁalo Galv„o Cruz Ribeiro,,Vitor Manuel Pereira Duarte dos Santos,Sara Cristina da Silva Ribeiro,,,07/12/2020,openAccess,,,Sistema de informaÁ„o de suporte ao recrutamento e seleÁ„o de candidatos na ·rea de consultoria,Work project,por,http://hdl.handle.net/10362/110488,Information Systems and Technologies Management,"The recruitment and selection of candidates is one of the main tasks in human resource
management. Nowadays, such roles in the consulting field are significantly challenging for any
organization due to a considerable amount of money and time invested in finding resources,
which sometimes are scarce and do not exceed expectations.
This project aims to build an information system based on both the identification and analysis
of the leading recruitment and selection processes within an organization in the consulting
market. Through this system it will be possible to have a platform that will allow a more
effective management and automation of processes with innovative techniques, in which it
will be possible to add and perform interactive interviews within the system. Therefore, this
system will contribute to the development of the respective organization and it might serve
other interested companies."
21,66425,10362/2160, Daniel Ribeiro Ferraz,,Pedro da Costa Brito Cabral,,,,15/03/2019,openAccess,,,PrincÌpios de visualizaÁ„o de dados aplicados no software de gest„o financeira Binfolio,Work project,por,http://hdl.handle.net/10362/64941,Knowledge Management and Business Intelligence,"The ability to analyze information is currently one of the companies' main focuses. Owned by
technology company Novabase, Binfolio is a financial management software used by insurance
companies, banks, investment funds and other entities managing wealth to manage their investment
portfolios. That management implies the analysis and monitor of several crucial metrics and
indicators and Binfolio application are endowed with tools for this purpose, being populated by a set
of data visualization elements. Based on the theoretical basis of Data Visualization and Dashboards,
this Project aims to verify the compliance of the data visualizations present in Binfolio with principles
of data visualization defined a priori. In addition, a new data visualization was implemented in
Binfolio, namely a dashboard, in the light of the defined principles that allowed to extend the range
of tools available."
22,65293,10362/2160, Mariana Matoso Pereira,,Fernando JosÈ Ferreira Lucas BaÁ„o,,,,01/03/2019,openAccess,,,Comparing the performance of oversampling techniques in combination with a clustering algorithm for imbalanced learning,Dissertation,eng,http://hdl.handle.net/10362/63810,Knowledge Management and Business Intelligence,"Imbalanced datasets in supervised learning are considered an ongoing challenging task for standard 
algorithms, seeing as they are designed to handle balanced class distributions and perform poorly 
when applied to problems of the imbalanced nature. Many methods have been developed to address 
this specific problem but the more general approach to achieve a balanced class distribution is data 
level modification, instead of algorithm modifications. Although class imbalances are responsible for 
significant losses of performance in standard classifiers in many different types of problems, another 
aspect that is important to consider is the small disjuncts problem. Therefore, it is important to 
consider and understand solutions that not only take into the account the between-class imbalance 
(the imbalance occurring between the two classes) but also the within-class imbalance (the imbalance 
occurring between the sub-clusters of each class) and to oversample the dataset by rectifying these 
two types of imbalances simultaneously. It has been shown that cluster-based oversampling is a robust 
solution that takes into consideration these two problems. This work sets out to study the effect and 
impact combining different existing oversampling methods with a clustering-based approach. 
Empirical results of extensive experiments show that the combinations of different oversampling 
techniques with the clustering algorithm k-means   K-Means Oversampling - improves upon 
classification results resulting solely from the oversampling techniques with no prior clustering step."
23,15261,10362/2160, Pedro Jorge de Almeida Crespo,,Vitor Manuel Pereira Duarte dos Santos,,,,28/11/2014,openAccess,,,ConstruÁ„o de Sistemas Integrados de Gest„o  para Micro e Pequenas Empresas,Dissertation,por,http://hdl.handle.net/10362/14535,Information Systems and Technologies Management,"Micro and Small Enterprises (MSEs) have limited resources. They rarely have an
Enterprise Resource Planning (ERP) that allows managing their business in a
transversal way and mapping all business processes. These companies have a small
number of employees, and for this reason they have a reduced number of internal
services. Their market space is usually limited. Their specific skills are reduced, thus not
allowing presenting a comprehensive offer. Due to their small dimension, they have no
negotiating strength vis-‡-vis their suppliers and potential strategic partners. The
Architecture of Information Systems (ASI) can represent and map the various aspects
of business management and align the Information Technology and Communication
(ICT) with the needs of these companies. This paper aims to present and describe a
macro architecture for building ERP oriented to MPE that includes a set of integrated
services on a single platform."
